CAS,chemicalName,label,MRF,molecularWeight,overloadMass_1,E,S,A,L,combustionEnthalpy,numBenzene,numCarbon,numHydrogen,numOxygen,numNitrogen,numSulfur,numFluorine,numChlorine,numBromine,numIodine,numSilicon
4054-38-0,Cyclohepta-1.3-diene,,,,,0.62,0.38,0,3.607,11.06,,,,,,,,,,,
628-73-9,1-Cyanopentane,,,,,0.17,0.9,0,3.608,11.06,,,,,,,,,,,
69537-82-2,Ethoxy-sec.-butyloxymethane,,,,,0,0.41,0,3.609,11.06,,,,,,,,,,,
1942-45-6,Oct-4-yne,,,,,0.21,0.3,0,3.609,11.06,,,,,,,,,,,
110-53-2,1-Bromopentane,,,,,0.36,0.4,0,3.611,11.06,,,,,,,,,,,
16747-50-5,1-Methyl-1-ethylcyclopentane,,,,,0.21,0.1,0,3.612,11.06,,,,,,,,,,,
924-46-9,N-Nitrosomethylpropylamine,,,,,0.36,1.05,0,3.62,11.06,,,,,,,,,,,
110-66-7,Pentylthiol,,,,,0.37,0.43,0,3.624,11.06,,,,,,,,,,,
628-92-2,Cycloheptene,,,,,0.41,0.22,0,3.626,11.06,,,,,,,,,,,
14508-49-7,Chloropyrazine,,,,,0.73,0.94,0,3.627,11.06,,,,,,,,,,,
542-69-8,1-Iodobutane,,,,,0.63,0.4,0,3.628,11.06,,,,,,,,,,,
7145-20-2,2.3-Dimethylhex-2-ene,,,,,0.14,0.11,0,3.629,11.06,,,,,,,,,,,
4595-60-2,2-Bromopyrimidine,,,,,0.88,0.89,0,3.631,11.06,,,,,,,,,,,
1628-89-3,2-Methoxypyridine,,,,,0.64,0.72,0,3.631,11.06,,,,,,,,,,,
108-99-6,3-Methylpyridine,,,,,0.63,0.81,0,3.631,11.06,,,,,,,,,,,
540-42-1,Isobutyl propanoate,,,,,0.03,0.53,0,3.635,11.06,,,,,,,,,,,
375-45-1,1.2.3.4-Tetrachlorohexafluorobutane,,,,,-0.03,0.15,0,3.638,11.06,,,,,,,,,,,
127-19-5,Dimethylacetamide,,,,,0.36,1.38,0,3.639,11.06,,,,,,,,,,,
2207-04-7,trans-1.4-Dimethylcyclohexane,,,,,0.19,0.17,0,3.639,11.06,,,,,,,,,,,
108-89-4,4-Methylpyridine,,,,,0.63,0.82,0,3.64,11.06,,,,,,,,,,,
57-06-7,Allyl isothiocyanate,,,,,0.81,0.73,0,3.642,11.06,,,,,,,,,,,
348-51-6,o-Fluorochlorobenzene,,,,,0.62,0.73,0,3.643,11.06,,,,,,,,,,,
108-59-8,Dimethyl malonate,,,,,0.2,1.03,0,3.652,11.06,,,,,,,,,,,
591-21-9,trans-1.3-Dimethylcyclohexane,,,,,0.19,0.1,0,3.655,11.06,,,,,,,,,,,
108-90-7,Chlorobenzene,,,,,0.72,0.65,0,3.657,11.06,,,,,,,,,,,
816-11-5,Methyl 2-ethylbutanoate,,,,,0.17,0.5,0,3.661,11.06,,,,,,,,,,,
7379-12-6,2-Methylhexan-3-one,,,,,0.11,0.6,0,3.662,11.06,,,,,,,,,,,
13389-42-9,trans-Oct-2-ene,,,,,0.12,0.07,0,3.668,11.06,,,,,,,,,,,
111-65-9,n-Octane,,,,,0,0,0,3.677,11.06,,,,,,,,,,,
545-06-2,Trichloroacetonitrile,,,,,0.38,1.2,0,3.677,11.06,,,,,,,,,,,
620-11-1,3-Pentyl acetate,,,,,0.05,0.57,0,3.679,11.06,,,,,,,,,,,
542-28-9,d-Pentanolactone,,,,,0.44,1.52,0,3.68,11.06,,,,,,,,,,,
3268-49-3,Methional,,,,,0.55,0.94,0,3.68,11.06,,,,,,,,,,,
16747-30-1,2.4.4-Trimethylhexane,,,,,0,0,0,3.683,11.06,,,,,,,,,,,
7642-04-8,cis-Oct-2-ene,,,,,0.14,0.08,0,3.683,11.06,,,,,,,,,,,
2432-51-1,Methyl thiobutanoate,,,,,0.44,0.58,0,3.683,11.06,,,,,,,,,,,
1192-62-7,2-Acetylfuran,,,,,0.63,1.11,0,3.685,11.06,,,,,,,,,,,
2177-77-7,Methyl 2-methylpentanoate,,,,,0.06,0.53,0,3.688,11.06,,,,,,,,,,,
623-56-3,5-Methylhexan-3-one,,,,,0.11,0.63,0,3.69,11.06,,,,,,,,,,,
4549-43-3,N-Nitrosomethylallylamine,,,,,0.47,1.13,0,3.693,11.06,,,,,,,,,,,
638-00-6,2.4-Dimethylthiophene,,,,,0.67,0.54,0,3.7,11.06,,,,,,,,,,,
291-64-5,Cycloheptane,,,,,0.35,0.1,0,3.704,11.06,,,,,,,,,,,
123-19-3,Heptan-4-one,,,,,0.11,0.64,0,3.705,11.06,,,,,,,,,,,
544-10-5,1-Chlorohexane,,,,,0.2,0.39,0,3.708,11.06,,,,,,,,,,,
100-40-3,4-Vinylcyclohexene,,,,,0.45,0.33,0,3.708,11.06,,,,,,,,,,,
110-12-3,5-Methylhexan-2-one,,,,,0.11,0.68,0,3.713,11.06,,,,,,,,,,,
1120-73-6,2-Methylcyclopent-2-en-1-one,,,,,0.53,0.94,0,3.72,11.06,,,,,,,,,,,
758-96-3,Dimethylpropanamide,,,,,0.34,1.3,0,3.72,11.06,,,,,,,,,,,
6284-46-4,Isopropyl crotonate,,,,,0.14,0.6,0,3.72,11.06,,,,,,,,,,,
3149-28-8,2-Methoxypyrazine,,,,,0.73,0.85,0,3.721,11.06,,,,,,,,,,,
1069-53-0,2.3.5-Trimethylhexane,,,,,0,0,0,3.724,11.06,,,,,,,,,,,
32749-94-3,2.3-Dimethylpentanal,,,,,0.14,0.6,0,3.728,11.06,,,,,,,,,,,
2550-21-2,3-Methylhexan-2-one,,,,,0.11,0.63,0,3.728,11.06,,,,,,,,,,,
626-61-9,4-Chloropyridine,,,,,0.74,0.85,0,3.728,11.06,,,,,,,,,,,
17042-16-9,4-Methylhexan-3-one,,,,,0.11,0.63,0,3.728,11.06,,,,,,,,,,,
6876-23-9,Trans-1.2-dimethylcyclohexane,,,,,0.23,0.2,0,3.728,11.06,,,,,,,,,,,
598-99-2,Methyl trichloroacetate,,,,,0.41,0.74,0,3.729,11.06,,,,,,,,,,,
766-09-6,N-Ethylpiperidine,,,,,0.3,0.32,0,3.729,11.06,,,,,,,,,,,
6137-03-7,3-Ethylpentan-2-one,,,,,0.11,0.63,0,3.731,11.06,,,,,,,,,,,
624-29-3,cis-1.4-Dimethylcyclohexane,,,,,0.2,0.2,0,3.736,11.06,,,,,,,,,,,
1186-53-4,2.2.3.4-Tetramethylpentane,,,,,0,0,0,3.738,11.06,,,,,,,,,,,
1071-26-7,2.2-Dimethylheptane,,,,,0,0,0,3.739,11.06,,,,,,,,,,,
16747-32-3,3-Ethyl-2.2-dimethylpentane,,,,,0,0,0,3.74,11.06,,,,,,,,,,,
123-92-2,Isoamyl acetate,,,,,0.05,0.57,0,3.74,11.06,,,,,,,,,,,
96-05-9,Allyl methacrylate,,,,,0.29,0.57,0,3.741,11.06,,,,,,,,,,,
108-65-6,1-Methoxy-2-propyl acetate,,,,,0.09,0.81,0,3.746,11.06,,,,,,,,,,,
111-15-9,2-Ethoxyethyl acetate,,,,,0.1,0.79,0,3.747,11.06,,,,,,,,,,,
110-57-6,trans-1.4-Dichlorobut-2-ene,,,,,0.53,0.95,0,3.747,11.06,,,,,,,,,,,
105-56-6,Ethyl cyanoacetate,,,,,0.24,1.33,0,3.748,11.06,,,,,,,,,,,
105-42-0,4-Methylhexan-2-one,,,,,0.11,0.67,0,3.749,11.06,,,,,,,,,,,
5008-73-1,Propylisopropylsulfide,,,,,0.35,0.33,0,3.75,11.06,,,,,,,,,,,
141-97-9,Ethyl acetoacetate,,,,,0.21,0.8,0,3.752,11.06,,,,,,,,,,,
2213-23-2,2.4-Dimethylheptane,,,,,0,0,0,3.758,11.06,,,,,,,,,,,
696-59-3,2.5-Dimethoxytetrahydrofuran,,,,,0.21,0.91,0,3.76,11.06,,,,,,,,,,,
108-48-5,2.6-Dimethylpyridine,,,,,0.61,0.7,0,3.76,11.06,,,,,,,,,,,
3074-75-7,2-Methyl-4-ethylhexane,,,,,0,0,0,3.76,11.06,,,,,,,,,,,
110-43-0,Heptan-2-one,,,,,0.12,0.68,0,3.76,11.06,,,,,,,,,,,
100-74-3,N-Ethylmorpholine,,,,,0.42,0.68,0,3.76,11.06,,,,,,,,,,,
16747-25-4,2.2.3-Trimethylhexane,,,,,0,0,0,3.762,11.06,,,,,,,,,,,
505-84-0,Dipropyloxymethane,,,,,0,0.42,0,3.762,11.06,,,,,,,,,,,
3153-37-5,Methyl 4-chlorobutanoate,,,,,0.29,0.97,0,3.762,11.06,,,,,,,,,,,
695-12-5,Vinylcyclohexane,,,,,0.35,0.2,0,3.766,11.06,,,,,,,,,,,
638-02-8,2.5-Dimethylthiophene,,,,,0.69,0.54,0,3.769,11.06,,,,,,,,,,,
539-82-2,Ethyl pentanoate,,,,,0.05,0.58,0,3.769,11.06,,,,,,,,,,,
1068-19-5,4.4-Dimethylheptane,,,,,0,0,0,3.77,11.06,,,,,,,,,,,
2210-28-8,Propyl methacrylate,,,,,0.18,0.49,0,3.77,11.06,,,,,,,,,,,
70688-47-0,1.4-Dimethylcyclohexene,,,,,0.35,0.16,0,3.773,11.06,,,,,,,,,,,
2758-18-1,1-Methylcyclopent-1-en-3-one,,,,,0.57,1.25,0,3.773,11.06,,,,,,,,,,,
2412-80-8,Methyl 4-methylpentanoate,,,,,0.07,0.57,0,3.773,11.06,,,,,,,,,,,
106-35-4,Heptan-3-one,,,,,0.11,0.66,0,3.776,11.06,,,,,,,,,,,
6863-58-7,Di-sec-butylether,,,,,0,0.18,0,3.778,11.06,,,,,,,,,,,
100-41-4,Ethylbenzene,,,,,0.61,0.51,0,3.778,11.06,,,,,,,,,,,
1072-05-5,2.6-Dimethylheptane,,,,,0,0,0,3.78,11.06,,,,,,,,,,,
626-60-8,3-Chloropyridine,,,,,0.73,0.83,0,3.783,11.06,,,,,,,,,,,
623-51-8,Ethyl thioglycolate,,,,,0.43,1,0,3.783,11.06,,,,,,,,,,,
105-66-8,Propyl butanoate,,,,,0.05,0.56,0,3.783,11.06,,,,,,,,,,,
5396-24-7,Propyl chloroacetate,,,,,0.25,0.82,0,3.784,11.06,,,,,,,,,,,
141-32-2,n-Butyl acrylate,,,,,0.18,0.62,0,3.79,11.06,,,,,,,,,,,
108-94-1,Cyclohexanone,,,,,0.4,0.86,0,3.792,11.06,,,,,,,,,,,
2043-61-0,Cyclohexane carboxaldehyde,,,,,0.38,0.72,0,3.794,11.06,,,,,,,,,,,
19847-12-2,2-Cyanopyrazine,,,,,0.76,1.07,0,3.795,11.06,,,,,,,,,,,
626-54-0,Isopropyl 3-methylbutanoate,,,,,-0.02,0.5,0,3.798,11.06,,,,,,,,,,,
512-56-1,Trimethyl phosphate,,,,,0.11,1.27,0,3.798,11.06,,,,,,,,,,,
592-44-9,Hexa-1.2-diene,,,,,0.3,0.23,0,3.8,11.06,,,,,,,,,,,
142-83-6,Hexa-2.4-dienal,,,,,0.77,0.84,0,3.8,11.06,,,,,,,,,,,
2040-96-2,n-Propiocyclopentane,,,,,0.23,0.1,0,3.803,11.06,,,,,,,,,,,
616-47-7,N-Methylimidazole,,,,,0.59,0.95,0,3.805,11.06,,,,,,,,,,,
1613-45-2,Ethylisobutylsulfide,,,,,0.34,0.37,0,3.81,11.06,,,,,,,,,,,
5008-72-0,Ethyl-sec-butylsulfide,,,,,0.33,0.34,0,3.81,11.06,,,,,,,,,,,
542-10-9,Ethylidene diacetate,,,,,0.12,0.97,0,3.812,11.06,,,,,,,,,,,
10264-55-8,3-Ethylcyclopentanone,,,,,0.34,0.85,0,3.816,11.06,,,,,,,,,,,
1476-11-5,cis-1.4-Dichlorobut-2-ene,,,,,0.58,0.95,0,3.816,11.06,,,,,,,,,,,
2216-30-0,2.5-Dimethylheptane,,,,,0,0,0,3.822,11.06,,,,,,,,,,,
108-84-9,4-Methyl-2-pentyl acetate,,,,,0,0.54,0,3.822,11.06,,,,,,,,,,,
5910-89-4,2.3-Dimethylpyrazine,,,,,0.66,0.8,0,3.826,11.06,,,,,,,,,,,
926-82-9,3.5-Dimethylheptane,,,,,0,0,0,3.826,11.06,,,,,,,,,,,
1068-87-7,3-Ethyl-2.4-dimethylpentane,,,,,0,0,0,3.828,11.06,,,,,,,,,,,
16747-28-7,2.3.3-Trimethylhexane,,,,,0,0,0,3.832,11.06,,,,,,,,,,,
542-18-7,Chlorocyclohexane,,,,,0.45,0.48,0,3.832,11.06,,,,,,,,,,,
872-50-4,N-Methyl-2-pyrrolidinone,,,,,0.49,1.3,0,3.832,11.06,,,,,,,,,,,
4032-86-4,3.3-Dimethylheptane,,,,,0,0,0,3.833,11.06,,,,,,,,,,,
590-01-2,Butyl propanoate,,,,,0.06,0.56,0,3.833,11.06,,,,,,,,,,,
27817-67-0,Allylpropylsulfide,,,,,0.5,0.47,0,3.837,11.06,,,,,,,,,,,
108-38-3,m-Xylene,,,,,0.62,0.52,0,3.839,11.06,,,,,,,,,,,
106-42-3,p-Xylene,,,,,0.61,0.52,0,3.839,11.06,,,,,,,,,,,
137-43-9,Bromocyclopentane,,,,,0.57,0.48,0,3.841,11.06,,,,,,,,,,,
100-71-0,2-Ethylpyridine,,,,,0.61,0.71,0,3.844,11.06,,,,,,,,,,,
628-63-7,n-Pentyl acetate,,,,,0.07,0.6,0,3.844,11.06,,,,,,,,,,,
814-67-5,Propane-1.2-dithiol,,,,,0.74,0.84,0,3.845,11.06,,,,,,,,,,,
108-50-9,2.6-Dimethylpyrazine,,,,,0.63,0.85,0,3.846,11.06,,,,,,,,,,,
592-88-1,Diallyl sulphide,,,,,0.58,0.48,0,3.846,11.06,,,,,,,,,,,
2207-01-4,cis-1.2-Dimethylcyclohexane,,,,,0.28,0.24,0,3.847,11.06,,,,,,,,,,,
16789-46-1,2-Methyl-3-ethylhexane,,,,,0,0,0,3.85,11.06,,,,,,,,,,,
2809-67-8,Oct-2-yne,,,,,0.23,0.3,0,3.85,11.06,,,,,,,,,,,
123-32-0,2.5-Dimethylpyrazine,,,,,0.69,0.74,0,3.851,11.06,,,,,,,,,,,
56922-80-6,trans-3-Hexenyl formate,,,,,0.22,0.64,0,3.855,11.06,,,,,,,,,,,
3073-66-3,1.1.3-Trimethylcyclohexane,,,,,0.21,0.08,0,3.856,11.06,,,,,,,,,,,
100-42-5,Styrene,,,,,0.85,0.65,0,3.856,11.06,,,,,,,,,,,
33467-73-1,cis-3-Hexenyl formate,,,,,0.22,0.66,0,3.858,11.06,,,,,,,,,,,
109-80-8,Propane-1.3-dithiol,,,,,0.78,0.84,0,3.86,11.06,,,,,,,,,,,
623-39-2,3-Methoxypropan-1.2-diol,,,,,0.38,1.35,0,3.861,11.06,,,,,,,,,,,
931-56-6,Methyl cyclohexyl ether,,,,,0.3,0.64,0,3.861,11.06,,,,,,,,,,,
456-49-5,3-Fluoroanisole,,,,,0.57,0.72,0,3.865,11.06,,,,,,,,,,,
111-71-7,Heptanal,,,,,0.14,0.65,0,3.865,11.06,,,,,,,,,,,
872-55-9,2-Ethylthiophene,,,,,0.69,0.58,0,3.87,11.06,,,,,,,,,,,
7085-85-0,Ethyl 2-cyano-2-propenoic acid,,,,,0.35,0.9,0,3.87,11.06,,,,,,,,,,,
3875-51-2,Isopropylcyclopentane,,,,,0.22,0.1,0,3.871,11.06,,,,,,,,,,,
109-64-8,1.3-Dibromopropane,,,,,0.72,0.8,0,3.872,11.06,,,,,,,,,,,
100-50-5,3-Cyclohexene-1-carboxaldehyde,,,,,0.51,0.8,0,3.873,11.06,,,,,,,,,,,
106-70-7,Methyl hexanoate,,,,,0.08,0.6,0,3.874,11.06,,,,,,,,,,,
106-58-1,N.N-Dimethylpiperazine,,,,,0.35,0.69,0,3.874,11.06,,,,,,,,,,,
109-09-1,2-Chloropyridine,,,,,0.74,1.04,0,3.875,11.06,,,,,,,,,,,
3121-61-7,Methoxyethyl acrylate,,,,,0.25,0.8,0,3.876,11.06,,,,,,,,,,,
1678-91-7,Ethylcyclohexane,,,,,0.26,0.1,0,3.877,11.06,,,,,,,,,,,
7154-79-2,2.2.3.3-Tetramethylpentane,,,,,0,0,0,3.88,11.06,,,,,,,,,,,
4177-16-6,2-Vinylpyrazine,,,,,0.77,0.9,0,3.881,11.06,,,,,,,,,,,
921-47-1,2.3.4-Trimethylhexane,,,,,0,0,0,3.882,11.06,,,,,,,,,,,
97-85-8,Isobutyl isobutanoate,,,,,0,0.5,0,3.885,11.06,,,,,,,,,,,
13925-00-3,2-Ethylpyrazine,,,,,0.62,0.84,0,3.887,11.06,,,,,,,,,,,
321-28-8,2-Fluoroanisole,,,,,0.6,0.79,0,3.887,11.06,,,,,,,,,,,
3074-76-8,3-Methyl-3-ethylhexane,,,,,0,0,0,3.89,11.06,,,,,,,,,,,
111-44-4,Bis(2-chloroethyl) ether,,,,,0.42,0.93,0,3.89,11.06,,,,,,,,,,,
7087-68-5,Diisopropylethylamine,,,,,0.08,0.06,0,3.89,11.06,,,,,,,,,,,
100-66-3,Methyl phenyl ether,,,,,0.71,0.75,0,3.89,11.06,,,,,,,,,,,
16747-31-2,3.3.4-Trimethylhexane,,,,,0,0,0,3.891,11.06,,,,,,,,,,,
4466-24-4,2-Butylfuran,,,,,0.34,0.47,0,3.897,11.06,,,,,,,,,,,
629-20-9,Cycloocta-1.3.5.7-tetraene,,,,,0.8,0.45,0,3.898,11.06,,,,,,,,,,,
529-16-8,Santene,,,,,0.46,0.19,0,3.898,11.06,,,,,,,,,,,
3074-77-9,3-Methyl-4-ethylhexane,,,,,0,0,0,3.9,11.06,,,,,,,,,,,
459-60-9,4-Fluoroanisole,,,,,0.57,0.74,0,3.904,11.06,,,,,,,,,,,
126-33-0,Tetramethylenesulfone,,,,,0.56,1.2,0,3.905,11.06,,,,,,,,,,,
16747-38-9,2.3.3.4-Tetramethylpentane,,,,,0,0,0,3.91,11.06,,,,,,,,,,,
931-63-5,2-Methoxypyrimidine,,,,,0.7,1.08,0,3.91,11.06,,,,,,,,,,,
1073-06-9,m-fluorobromobenzene,,,,,0.74,0.73,0,3.911,11.06,,,,,,,,,,,
35926-04-6,Hex-1-ene-3-yl acetate,,,,,0.16,0.56,0,3.912,11.06,,,,,,,,,,,
110-61-2,1.2-Dicyanoethane,,,,,0.35,2.1,0,3.918,11.06,,,,,,,,,,,
930-99-4,cis-Bicyclo[3.3.0]oct-2-ene,,,,,0.44,0.24,0,3.918,11.06,,,,,,,,,,,
111-96-6,Bis(2-methoxyethyl)ether,,,,,0.11,0.76,0,3.92,11.06,,,,,,,,,,,
142-96-1,Di-n-butyl ether,,,,,0,0.25,0,3.924,11.06,,,,,,,,,,,
3074-71-3,2.3-Dimethylheptane,,,,,0,0,0,3.925,11.06,,,,,,,,,,,
55757-34-1,1.1.1-Trifluorononane,,,,,-0.33,0.22,0,3.926,11.06,,,,,,,,,,,
620-02-0,5-Methylfurfural,,,,,0.74,1.11,0,3.933,11.06,,,,,,,,,,,
922-28-1,3.4-Dimethylheptane,,,,,0,0,0,3.935,11.06,,,,,,,,,,,
3010-02-4,Diethylaminoacetonitrile,,,,,0.24,0.89,0,3.936,11.06,,,,,,,,,,,
111-55-7,Ethylene diacetate,,,,,0.17,0.95,0,3.937,11.06,,,,,,,,,,,
628-05-7,1-Nitropentane,,,,,0.21,0.95,0,3.938,11.06,,,,,,,,,,,
95-47-6,o-Xylene,,,,,0.66,0.56,0,3.939,11.06,,,,,,,,,,,
931-54-4,Phenylisocyanide,,,,,0.75,0.9,0,3.94,11.06,,,,,,,,,,,
2216-32-2,4-Ethylheptane,,,,,0,0,0,3.944,11.06,,,,,,,,,,,
460-00-4,p-Fluorobromobenzene,,,,,0.75,0.75,0,3.947,11.06,,,,,,,,,,,
13286-90-3,Methylisopentylsulfide,,,,,0.34,0.38,0,3.95,11.06,,,,,,,,,,,
611-13-2,Methyl 2-furoate,,,,,0.56,1.11,0,3.952,11.06,,,,,,,,,,,
3658-80-0,Allylmethyldisulfide,,,,,0.78,0.7,0,3.955,11.06,,,,,,,,,,,
1453-25-4,1-Methylcycloheptene,,,,,0.43,0.22,0,3.957,11.06,,,,,,,,,,,
4285-59-0,1.1-Diisopropoxyethane,,,,,0,0.37,0,3.96,11.06,,,,,,,,,,,
2216-34-4,4-methyloctane,,,,,0,0,0,3.961,11.06,,,,,,,,,,,
463-11-6,1-Fluorooctane,,,,,-0.02,0.35,0,3.962,11.06,,,,,,,,,,,
3221-61-2,2-methyloctane,,,,,0,0,0,3.966,11.06,,,,,,,,,,,
16747-33-4,3-Ethyl-2.3-dimethylpentane,,,,,0,0,0,3.97,11.06,,,,,,,,,,,
629-33-4,Hexyl formate,,,,,0.09,0.63,0,3.97,11.06,,,,,,,,,,,
931-20-4,N-Methyl-d-valerolactam,,,,,0.53,0.93,0,3.971,11.06,,,,,,,,,,,
1632-76-4,3-Methylpyridazine,,,,,0.66,1.44,0,3.972,11.06,,,,,,,,,,,
2525-62-4,Hexyl isocyanate,,,,,0.17,0.6,0,3.972,11.06,,,,,,,,,,,
756-79-6,Dimethyl methanephosphonate,,,,,0.22,0.8,0,3.977,11.06,,,,,,,,,,,
541-28-6,1-Iodo-3-methylbutane,,,,,0.61,0.37,0,3.98,11.06,,,,,,,,,,,
95-92-1,Diethyl oxalate,,,,,0.14,0.85,0,3.98,11.06,,,,,,,,,,,
1003-64-1,Ethylidenecyclohexane,,,,,0.44,0.19,0,3.981,11.06,,,,,,,,,,,
13019-20-0,2-Methylheptan-3-one,,,,,0.09,0.65,0,3.982,11.06,,,,,,,,,,,
589-93-5,2.5-Dimethylpyridine,,,,,0.63,0.74,0,3.986,11.06,,,,,,,,,,,
1119-44-4,Hept-3-en-2-one,,,,,0.31,0.82,0,3.99,11.06,,,,,,,,,,,
926-40-9,Propyl-t-butylsulfide,,,,,0.32,0.28,0,3.99,11.06,,,,,,,,,,,
15869-80-4,3-Ethylheptane,,,,,0,0,0,3.992,11.06,,,,,,,,,,,
617-84-5,Diethylformamide,,,,,0.31,1.25,0,3.995,11.06,,,,,,,,,,,
2216-33-3,3-Methyloctane,,,,,0,0,0,3.998,11.06,,,,,,,,,,,
3048-64-4,5-Vinyl-2-norbornene,,,,,0.54,0.32,0,3.999,11.06,,,,,,,,,,,
10352-87-1,Propyl crotonate,,,,,0.2,0.65,0,4,11.06,,,,,,,,,,,
557-00-6,Propyl 3-methylbutanoate,,,,,0.01,0.53,0,4.004,11.06,,,,,,,,,,,
108-47-4,2.4-Dimethylpyridine,,,,,0.63,0.76,0,4.006,11.06,,,,,,,,,,,
6940-78-9,1-Bromo-4-chlorobutane,,,,,0.57,0.82,0,4.007,11.06,,,,,,,,,,,
100-52-7,Benzaldehyde,,,,,0.82,1,0,4.008,11.06,,,,,,,,,,,
446-52-6,2-Fluorobenzaldehyde,,,,,0.72,1.05,0,4.01,11.06,,,,,,,,,,,
111-47-7,Di-n-propyl sulfide,,,,,0.36,0.38,0,4.01,11.06,,,,,,,,,,,
24342-03-8,Isobutyl 3-butenoate,,,,,0.13,0.59,0,4.016,11.06,,,,,,,,,,,
1072-85-1,o-fluorobromobenzene,,,,,0.78,0.78,0,4.018,11.06,,,,,,,,,,,
16339-04-1,N-Nitrosoethylisopropylamine,,,,,0.34,0.98,0,4.02,11.06,,,,,,,,,,,
111-78-4,Cycloocta-1.5-diene,,,,,0.61,0.35,0,4.022,11.06,,,,,,,,,,,
2983-38-2,Ethyl 2-ethylbutanoate,,,,,0.08,0.49,0,4.022,11.06,,,,,,,,,,,
18362-97-5,Isopropyl pentanoate,,,,,0.03,0.51,0,4.022,11.06,,,,,,,,,,,
54004-43-2,2-Pentyl propanoate,,,,,0.03,0.53,0,4.024,11.06,,,,,,,,,,,
4595-59-9,5-Bromopyrimidine,,,,,0.88,1.06,0,4.026,11.06,,,,,,,,,,,
1120-87-2,4-Bromopyridine,,,,,0.9,0.93,0,4.027,11.06,,,,,,,,,,,
100-48-1,4-Cyanopyridine,,,,,0.75,1.21,0,4.033,11.06,,,,,,,,,,,
4126-78-7,Methylcycloheptane,,,,,0.3,0.1,0,4.034,11.06,,,,,,,,,,,
110-81-6,Diethyl disulfide,,,,,0.67,0.54,0,4.036,11.06,,,,,,,,,,,
139157-76-9,Propoxy-sec.-butyloxymethane,,,,,0,0.4,0,4.037,11.06,,,,,,,,,,,
100-47-0,Benzonitrile,,,,,0.74,1.11,0,4.039,11.06,,,,,,,,,,,
108-86-1,Bromobenzene,,,,,0.88,0.73,0,4.041,11.06,,,,,,,,,,,
583-61-9,2.3-Dimethylpyridine,,,,,0.66,0.77,0,4.045,11.06,,,,,,,,,,,
37064-20-3,Propyl 2-methylbutanoate,,,,,0.01,0.53,0,4.049,11.06,,,,,,,,,,,
39255-32-8,Ethyl 2-methylpentanoate,,,,,0,0.5,0,4.051,11.06,,,,,,,,,,,
2504-18-9,N-Nitrosomethyl-t-butylamine,,,,,0.34,1.05,0,4.051,11.06,,,,,,,,,,,
274-09-9,1.3-Benzodioxole,,,,,0.79,0.97,0,4.055,11.06,,,,,,,,,,,
583-60-8,2-methylcyclohexanone,,,,,0.37,0.83,0,4.055,11.06,,,,,,,,,,,
623-17-6,Furfuryl acetate,,,,,0.44,1.01,0,4.056,11.06,,,,,,,,,,,
459-57-4,4-Fluorobenzaldehyde,,,,,0.71,1.01,0,4.061,11.06,,,,,,,,,,,
18829-55-5,trans-Hept-2-ene-1-al,,,,,0.37,0.75,0,4.061,11.06,,,,,,,,,,,
456-48-4,3-Fluorobenzaldehyde,,,,,0.71,0.99,0,4.064,11.06,,,,,,,,,,,
1067-20-5,3.3-Diethylpentane,,,,,0,0.23,0,4.065,11.06,,,,,,,,,,,
695-06-7,g-Hexanolactone,,,,,0.34,1.4,0,4.066,11.06,,,,,,,,,,,
97-87-0,Butyl isobutanoate,,,,,0.01,0.53,0,4.068,11.06,,,,,,,,,,,
1679-47-6,a-Methyl-g-butyrolactone,,,,,0.34,1.23,0,4.07,11.06,,,,,,,,,,,
124-11-8,Non-1-ene,,,,,0.09,0.08,0,4.073,11.06,,,,,,,,,,,
626-33-5,2-Methylheptan-4-one,,,,,0.11,0.65,0,4.083,11.06,,,,,,,,,,,
98-82-8,Isopropylbenzene,,,,,0.6,0.49,0,4.084,11.06,,,,,,,,,,,
629-32-3,Methylheptylether,,,,,0.05,0.25,0,4.088,11.06,,,,,,,,,,,
2179-60-4,Methylpropyldisulfide,,,,,0.67,0.58,0,4.088,11.06,,,,,,,,,,,
629-08-3,1-Cyanohexane,,,,,0.16,0.9,0,4.089,11.06,,,,,,,,,,,
541-85-5,5-Methylheptan-3-one,,,,,0.11,0.65,0,4.089,11.06,,,,,,,,,,,
97-86-9,Isobutyl methacrylate,,,,,0.14,0.46,0,4.09,11.06,,,,,,,,,,,
536-78-7,3-Ethylpyridine,,,,,0.64,0.79,0,4.093,11.06,,,,,,,,,,,
591-24-2,3-Methylcyclohexanone,,,,,0.36,0.83,0,4.093,11.06,,,,,,,,,,,
539-90-2,Isobutyl butanoate,,,,,0.01,0.53,0,4.097,11.06,,,,,,,,,,,
930-55-2,N-Nitrosopyrrolidine,,,,,0.57,1.47,0,4.097,11.06,,,,,,,,,,,
350-50-5,Benzyl fluoride,,,,,0.58,0.65,0,4.099,11.06,,,,,,,,,,,
1122-69-6,2-Methyl-6-ethylpyridine,,,,,0.61,0.64,0,4.102,11.06,,,,,,,,,,,
622-37-7,Phenylazide,,,,,0.9,0.62,0,4.11,11.06,,,,,,,,,,,
931-87-3,cis-Cyclooctene,,,,,0.46,0.24,0,4.119,11.06,,,,,,,,,,,
98-56-6,4-chlorobenzotrifluoride,,,,,0.53,0.58,0,4.121,11.06,,,,,,,,,,,
