CAS , ringCount
111-90-0 ,0
111-91-1 ,0
111-92-2 ,0
1119-40-0 ,0
1119-44-4 ,0
1119-49-9 ,0
111-96-6 ,0
1120-06-5 ,0
1120-21-4 ,0
1120-28-1 ,0
1120-36-1 ,0
112-05-0 ,0
112-06-1 ,0
112-07-2 ,0
1120-72-5 ,0
1120-73-6 ,0
1120-87-2 ,1
1121-07-9 ,0
112-12-9 ,0
1121-37-5 ,0
112-14-1 ,0
112-15-2 ,0
1121-55-7 ,1
112-17-4 ,0
1121-76-2 ,1
112-18-5 ,0
1121-86-4 ,1
1121-92-2 ,0
112-20-9 ,0
1122-39-0 ,1
1122-54-9 ,1
1122-58-3 ,1
1122-60-7 ,0
1122-61-8 ,1
1122-62-9 ,1
1122-69-6 ,1
112-27-6 ,0
1122-81-2 ,1
1122-91-4 ,1
112-29-8 ,0
112-30-1 ,0
112-31-2 ,0
112-34-5 ,0
112-35-6 ,0
112-36-7 ,0
1123-73-5 ,1
112-37-8 ,0
112-39-0 ,0
1123-94-0 ,1
112-40-3 ,0
1124-05-6 ,1
1124-11-4 ,1
112-41-4 ,0
112-42-5 ,0
1124-27-2 ,0
1124-33-0 ,1
1124-35-2 ,1
112-44-7 ,0
112-47-0 ,0
112-49-2 ,0
112-52-7 ,0
112-53-8 ,0
112-54-9 ,0
112-55-0 ,0
1125-78-6 ,1
1125-80-0 ,2
112-58-3 ,0
112-59-4 ,0
112-60-7 ,0
112-61-8 ,0
112-62-9 ,0
112-63-0 ,0
1126-46-1 ,1
112-66-3 ,0
1126-78-9 ,1
112-70-9 ,0
112-71-0 ,0
112-72-1 ,0
1127-76-0 ,2
112-80-1 ,0
112-85-6 ,0
112-88-9 ,0
112-92-5 ,0
1129-35-7 ,1
112-95-8 ,0
113-00-8 ,0
113-45-1 ,1
1134-62-9 ,2
1135-24-6 ,1
1135-66-6 ,0
1136-85-2 ,3
1137-12-8 ,0
1137-41-3 ,2
1137-42-4 ,2
114-86-3 ,1
1148-79-4 ,3
1150-62-5 ,4
115-09-3 ,0
115-18-4 ,0
115-20-8 ,0
115-24-2 ,0
115-37-7 ,1
1156-05-4 ,1
115-77-5 ,0
115-86-6 ,3
115-95-7 ,0
116-02-9 ,0
116-09-6 ,0
116-53-0 ,0
117-18-0 ,1
117-39-5 ,3
117-81-7 ,1
117-82-8 ,1
117-83-9 ,1
117-84-0 ,1
117-89-5 ,2
117-99-7 ,2
1185-33-7 ,0
118-55-8 ,2
118-61-6 ,1
118-65-0 ,0
1186-53-4 ,0
118-69-4 ,1
1187-03-7 ,0
118-71-8 ,1
118-74-1 ,1
1187-58-2 ,0
118-79-6 ,1
118-90-1 ,1
118-91-2 ,1
118-92-3 ,1
118-93-4 ,1
118-96-7 ,1
1190-39-2 ,0
1192-18-3 ,0
1192-28-5 ,0
1192-37-6 ,0
1192-62-7 ,1
1192-89-8 ,1
119-33-5 ,1
1193-62-0 ,1
119-36-8 ,1
1193-82-4 ,1
1194-65-6 ,1
1195-14-8 ,2
1195-32-0 ,1
119-53-9 ,2
1195-79-5 ,0
119-60-8 ,0
119-61-9 ,2
119-64-2 ,1
119-65-3 ,2
1196-58-3 ,1
119-67-5 ,1
