CAS,C,H,O,N,S,F,Cl,Br,I,Si
106-39-8,6,4,0,0,0,0,1,1,0,0
106-40-1,6,6,0,1,0,0,0,1,0,0
106-41-2,6,5,1,0,0,0,0,1,0,0
106-42-3,8,10,0,0,0,0,0,0,0,0
106-43-4,7,7,0,0,0,0,1,0,0,0
106-44-5,7,8,1,0,0,0,0,0,0,0
106-45-6,7,8,0,0,1,0,0,0,0,0
106-46-7,6,4,0,0,0,0,2,0,0,0
106-47-8,6,6,0,1,0,0,1,0,0,0
106-48-9,6,5,1,0,0,0,1,0,0,0
106-49-0,7,9,0,1,0,0,0,0,0,0
106-50-3,6,8,0,2,0,0,0,0,0,0
106-51-4,6,4,2,0,0,0,0,0,0,0
106-55-8,6,14,0,2,0,0,0,0,0,0
106-58-1,6,14,0,2,0,0,0,0,0,0
106-63-8,7,12,2,0,0,0,0,0,0,0
106-65-0,6,10,4,0,0,0,0,0,0,0
106-67-2,8,18,1,0,0,0,0,0,0,0
106-68-3,8,16,1,0,0,0,0,0,0,0
106-70-7,7,14,2,0,0,0,0,0,0,0
1067-08-9,8,18,0,0,0,0,0,0,0,0
1067-20-5,9,20,0,0,0,0,0,0,0,0
106-73-0,8,16,2,0,0,0,0,0,0,0
106-79-6,12,22,4,0,0,0,0,0,0,0
1068-19-5,9,20,0,0,0,0,0,0,0,0
1068-87-7,9,20,0,0,0,0,0,0,0,0
106-89-8,3,5,1,0,0,0,1,0,0,0
106-91-2,7,10,3,0,0,0,0,0,0,0
106-92-3,6,10,2,0,0,0,0,0,0,0
106-93-4,2,4,0,0,0,0,0,2,0,0
106941-25-7,,,,,,,,,,
106-94-5,3,7,0,0,0,0,0,1,0,0
1069-53-0,9,20,0,0,0,0,0,0,0,0
106-95-6,3,5,0,0,0,0,0,1,0,0
1070-34-4,6,10,4,0,0,0,0,0,0,0
107-03-9,3,8,0,0,1,0,0,0,0,0
107-04-0,2,4,0,0,0,0,1,1,0,0
107-06-2,2,4,0,0,0,0,2,0,0,0
107-07-3,2,5,1,0,0,0,1,0,0,0
107-08-4,3,7,0,0,0,0,0,0,1,0
1070-87-7,9,20,0,0,0,0,0,0,0,0
1071-26-7,9,20,0,0,0,0,0,0,0,0
1071-39-2,6,1,0,0,0,0,0,0,0,0
1072-05-5,9,20,0,0,0,0,0,0,0,0
107-21-1,2,6,2,0,0,0,0,0,0,0
1072-16-8,10,22,0,0,0,0,0,0,0,0
1072-33-9,15,30,2,0,0,0,0,0,0,0
1072-43-1,3,6,0,0,1,0,0,0,0,0
107-26-6,2,1,0,0,0,0,0,1,0,0
107-27-7,2,1,0,0,0,0,1,0,0,0
1072-83-9,6,7,1,1,0,0,0,0,0,0
1072-85-1,6,4,0,0,0,1,0,1,0,0
1073-06-9,6,4,0,0,0,1,0,1,0,0
107-39-1,8,16,0,0,0,0,0,0,0,0
107-40-4,8,16,0,0,0,0,0,0,0,0
107-41-5,6,14,2,0,0,0,0,0,0,0
1074-17-5,10,14,0,0,0,0,0,0,0,0
1074-36-8,7,6,2,0,1,0,0,0,0,0
1074-43-7,10,14,0,0,0,0,0,0,0,0
1074-55-1,10,14,0,0,0,0,0,0,0,0
107-45-9,8,19,0,1,0,0,0,0,0,0
107-47-1,8,18,0,0,1,0,0,0,0,0
1074-92-6,11,16,0,0,0,0,0,0,0,0
107534-96-3,16,22,1,3,0,0,1,0,0,0
1075-38-3,11,16,0,0,0,0,0,0,0,0
1076-56-8,11,16,1,0,0,0,0,0,0,0
107-66-4,,,,,,,,,,
1077-16-3,12,18,0,0,0,0,0,0,0,0
107-75-5,10,20,2,0,0,0,0,0,0,0
107-81-3,5,11,0,0,0,0,0,1,0,0
107-83-5,6,14,0,0,0,0,0,0,0,0
107-84-6,5,11,0,0,0,0,1,0,0,0
107-85-7,5,13,0,1,0,0,0,0,0,0
107-86-8,5,8,1,0,0,0,0,0,0,0
1078-71-3,13,20,0,0,0,0,0,0,0,0
107-87-9,5,10,1,0,0,0,0,0,0,0
107-88-0,4,10,2,0,0,0,0,0,0,0
107-92-6,4,8,2,0,0,0,0,0,0,0
107-93-7,4,6,2,0,0,0,0,0,0,0
107-94-8,3,5,2,0,0,0,1,0,0,0
107-98-2,4,10,2,0,0,0,0,0,0,0
108-01-0,4,11,1,1,0,0,0,0,0,0
108-03-2,3,7,2,1,0,0,0,0,0,0
108-08-7,7,16,0,0,0,0,0,0,0,0
108-10-1,6,12,1,0,0,0,0,0,0,0
108-11-2,6,14,1,0,0,0,0,0,0,0
1081-77-2,15,24,0,0,0,0,0,0,0,0
108-18-9,6,15,0,1,0,0,0,0,0,0
108-20-3,6,14,1,0,0,0,0,0,0,0
108-21-4,5,10,2,0,0,0,0,0,0,0
108-22-5,5,8,2,0,0,0,0,0,0,0
108238-41-1,,,,,,,,,,
108-24-7,4,6,3,0,0,0,0,0,0,0
108-29-2,5,8,2,0,0,0,0,0,0,0
108-31-6,4,2,3,0,0,0,0,0,0,0
108-32-7,4,6,3,0,0,0,0,0,0,0
1083-27-8,,,,,,,,,,
1083-41-6,,,,,,,,,,
1083-56-3,16,18,0,0,0,0,0,0,0,0
108-36-1,6,4,0,0,0,0,0,2,0,0
108-37-2,6,4,0,0,0,0,1,1,0,0
108-38-3,8,10,0,0,0,0,0,0,0,0
108-39-4,7,8,1,0,0,0,0,0,0,0
108-41-8,7,7,0,0,0,0,1,0,0,0
108-42-9,6,6,0,1,0,0,1,0,0,0
