CAS,chemicalName,label,MRF,molecularWeight,overloadMass_1,E,S,A,L,combustionEnthalpy,C,H,O,N,S,F,Cl,Br,I,Si
103-67-3,N-Methylbenzylamine,,,,,0.8,0.79,0.07,4.79,,8,11,0,1,0,0,0,0,0,0
103-69-5,N-Ethylaniline,,,,,0.95,0.85,0.17,4.811,,8,11,0,1,0,0,0,0,0,0
103-70-8,Formanilide,,,,,0.97,1.44,0.48,5.27,,7,7,1,1,0,0,0,0,0,0
103-71-9,Phenyl isocyanate,,,,,0.79,0.95,0,4.26,,7,5,1,1,0,0,0,0,0,0
103-72-0,Phenyl isothiocyanate,,,,,1.35,0.91,0,5.33,,7,5,0,1,1,0,0,0,0,0
103-73-1,Ethyl phenyl ether,,,,,0.68,0.7,0,4.242,,8,10,1,0,0,0,0,0,0,0
103-74-2,2-Pyridineethanol,,,,,0.82,1.02,0.12,4.684,,7,9,1,1,0,0,0,0,0,0
103-79-7,Benzyl methyl ketone,,,,,0.75,0.9,0,4.726,,9,10,1,0,0,0,0,0,0,0
103-81-1,Phenylacetamide,,,,,0.95,1.55,0.45,5.809,,8,9,1,1,0,0,0,0,0,0
103-82-2,2-Phenylacetic acid,,,,,0.73,1.08,0.66,4.96,,8,8,2,0,0,0,0,0,0,0
103-83-3,N.N-Dimethylbenzylamine,,,,,0.67,0.78,0,5.046,,9,13,0,1,0,0,0,0,0,0
103-84-4,Acetanilide,,,,,0.9,1.37,0.48,5.57,,8,9,1,1,0,0,0,0,0,0
103-85-5,phenylthiourea,,,,,1.25,1.69,0.48,5.376,,7,8,0,2,1,0,0,0,0,0
103-89-9,p-Methylacetanilide,,,,,0.87,1.11,0.56,5.84,,9,11,1,1,0,0,0,0,0,0
103-90-2,Paracetamol,,,,,1.12,1.63,1.01,6.505,,8,9,2,1,0,0,0,0,0,0
104-01-8,(4-Methoxyphenyl)acetic acid,,,,,0.88,1.33,0.59,6.14,,9,10,3,0,0,0,0,0,0,0
104-13-2,4-Butylaniline,,,,,0.91,0.89,0.23,5.778,,10,15,0,1,0,0,0,0,0,0
104-15-4,p-Toluenesulfonic acid,,,,,0.87,2.29,0.31,6.607,,7,8,3,0,1,0,0,0,0,0
104206-82-8,Mesotrione,,,,,1.82,3.15,0,12.14,,,,,,,,,,,
104227-87-4,Famciclovir,,,,,1.89,3,0.55,12.63,,,,,,,,,,,
104-40-5,4-Nonylphenol,,,,,0.77,0.88,0.55,8.354,,15,24,1,0,0,0,0,0,0,0
104-42-7,4-Dodecylaniline,,,,,0.87,0.94,0.23,9.662,,18,31,0,1,0,0,0,0,0,0
104-45-0,4-Propylanisole,,,,,0.73,0.8,0,5.614,,10,14,1,0,0,0,0,0,0,0
104-46-1,Anethole,,,,,1.05,0.77,0,5.727,,10,12,1,0,0,0,0,0,0,0
104-50-7,g-Octanolactone,,,,,0.32,1.43,0,5.058,,8,14,2,0,0,0,0,0,0,0
104-51-8,n-Butylbenzene,,,,,0.6,0.51,0,4.73,,10,14,0,0,0,0,0,0,0,0
104-54-1,Cinnamyl alcohol,,,,,1.09,1.04,0.38,5.659,,9,10,1,0,0,0,0,0,0,0
104-55-2,Cinnamaldehyde,,,,,0.97,1.3,0,5.477,,9,8,1,0,0,0,0,0,0,0
1045-69-8,Testosterone acetate,,,,,1.45,2.21,0,12.47,,21,30,3,0,0,0,0,0,0,0
10457-90-6,Bromperidol,,,,,2.07,1.5,0.4,12.936,,21,23,2,1,0,1,0,1,0,0
104-61-0,g-Nonanolactone,,,,,0.31,1.43,0,5.64,,9,16,2,0,0,0,0,0,0,0
104-67-6,g-Undecanolactone,,,,,0.29,1.44,0,6.598,,11,20,2,0,0,0,0,0,0,0
104-72-3,n-Decylbenzene,,,,,0.58,0.47,0,7.708,,16,26,0,0,0,0,0,0,0,0
104-76-7,2-Ethyl-1-hexanol,,,,,0.21,0.39,0.37,4.433,,8,18,1,0,0,0,0,0,0,0
104-82-5,4-Methylbenzyl chloride,,,,,0.83,0.85,0,4.852,,8,9,0,0,0,0,1,0,0,0
104-83-6,4-Chlorobenzyl chloride,,,,,0.92,0.97,0,5.1,,7,6,0,0,0,0,2,0,0,0
104-85-8,4-Methylbenzonitrile,,,,,0.74,1.1,0,4.6,,8,7,0,1,0,0,0,0,0,0
10486-19-8,Tridecanal,,,,,0.11,0.65,0,6.78,,13,26,1,0,0,0,0,0,0,0
104-87-0,4-Methylbenzaldehyde,,,,,0.86,0.87,0,4.592,,8,8,1,0,0,0,0,0,0,0
104-88-1,4-Chlorobenzaldehyde,,,,,0.93,1.08,0,4.86,,7,5,1,0,0,0,1,0,0,0
104-90-5,2-Methyl-5-ethylpyridine,,,,,0.63,0.71,0,4.467,,8,11,0,1,0,0,0,0,0,0
104-91-6,4-Nitrosophenol,,,,,0.9,0.73,0.55,4.256,,6,5,2,1,0,0,0,0,0,0
104-92-7,4-Bromoanisole,,,,,0.98,0.91,0,5.096,,7,7,1,0,0,0,0,1,0,0
104-93-8,4-Methylanisole,,,,,0.7,0.77,0,4.406,,8,10,1,0,0,0,0,0,0,0
104-94-9,4-Methoxyaniline,,,,,1.05,1.24,0.16,5.207,,7,9,1,1,0,0,0,0,0,0
10500-11-5,Pent-1-ene-3-yl acetate,,,,,0.16,0.56,0,3.467,,,,,,,,,,,
105-05-5,1.4-Diethylbenzene,,,,,0.65,0.5,0,4.732,,10,14,0,0,0,0,0,0,0,0
105-06-6,1.4-Divinylbenzene,,,,,1.08,0.75,0,4.9,,10,10,0,0,0,0,0,0,0,0
105-13-5,Anise alcohol,,,,,0.9,1.09,0.4,5.335,,8,10,2,0,0,0,0,0,0,0
105182-45-4,Fluparoxan,,,,,1.21,1.52,0.32,6.7,,,,,,,,,,,
105186-35-4,OM08,,,,,1.87,3.35,0.8,14.1,,,,,,,,,,,
105-21-5,g-Heptanolactone,,,,,0.33,1.44,0,4.56,,7,12,2,0,0,0,0,0,0,0
105-30-6,2-methylpentanol,,,,,0.21,0.39,0.31,3.471,,6,14,1,0,0,0,0,0,0,0
105-34-0,Methyl cyanoacetate,,,,,0.29,1.34,0,3.367,,4,5,2,1,0,0,0,0,0,0
105-37-3,Ethyl propanoate,,,,,0.09,0.58,0,2.807,,5,10,2,0,0,0,0,0,0,0
105-38-4,Vinyl propanoate,,,,,0.22,0.53,0,2.834,,5,8,2,0,0,0,0,0,0,0
105-40-8,Methylurethane,,,,,0.26,0.9,0.24,3.3,,4,9,2,1,0,0,0,0,0,0
105-42-0,4-Methylhexan-2-one,,,,,0.11,0.67,0,3.749,,7,14,1,0,0,0,0,0,0,0
105-43-1,3-Methylpentanoic acid,,,,,0.2,0.59,0.61,3.63,,6,12,2,0,0,0,0,0,0,0
10544-63-5,Ethyl crotonate,,,,,0.25,0.66,0,3.45,,6,10,2,0,0,0,0,0,0,0
105-45-3,Methyl acetoacetate,,,,,0.25,0.7,0,3.128,,5,8,3,0,0,0,0,0,0,0
105-46-4,sec.-Butyl acetate,,,,,0.04,0.57,0,3.054,,6,12,2,0,0,0,0,0,0,0
105-53-3,Diethyl malonate,,,,,0.11,0.9,0,4.47,,7,12,4,0,0,0,0,0,0,0
105-54-4,Ethyl butanoate,,,,,0.07,0.58,0,3.271,,6,12,2,0,0,0,0,0,0,0
105-56-6,Ethyl cyanoacetate,,,,,0.24,1.33,0,3.748,,5,7,2,1,0,0,0,0,0,0
105-57-7,1.1-diethoxyethane,,,,,-0.02,0.56,0,3.103,,6,14,2,0,0,0,0,0,0,0
105-58-8,Diethyl carbonate,,,,,0.06,0.69,0,3.167,,5,10,3,0,0,0,0,0,0,0
105-59-9,N-Methyldiethanolamine,,,,,0.47,0.78,0.48,4.176,,5,13,2,1,0,0,0,0,0,0
105-60-2,e-Caprolactam,,,,,0.59,1.72,0.38,4.914,,6,11,1,1,0,0,0,0,0,0
105-66-8,Propyl butanoate,,,,,0.05,0.56,0,3.783,,7,14,2,0,0,0,0,0,0,0
105-67-9,2.4-Dimethylphenol,,,,,0.84,0.79,0.52,4.77,,8,10,1,0,0,0,0,0,0,0
105-68-0,3-Methylbutyl propanoate,,,,,0.04,0.53,0,4.153,,8,16,2,0,0,0,0,0,0,0
10568-38-4,3-Ethylanisole,,,,,0.72,0.8,0,4.92,,9,12,1,0,0,0,0,0,0,0
105-72-6,Ethyleneglycol dibutanoate,,,,,0.13,0.79,0,5.88,,10,18,4,0,0,0,0,0,0,0
