CAS (0),ChemicalName (1),Label (2),MRF (3),molecularWeight (4),overloadMass_1 (5),E (6),S (6),A (7),L (8),combustionEnthalpy,numBenzene,numCarbon,numHydrogen,numOxygen,numNitrogen,numSulfur,numFluorine,numChlorine,numBromine,numSilicon,,,
106-44-5,4-Methylphenol,,0.788,108.13,358.2,0.828,0.791,0.664,4.314,862.7,1,7,8,1,0,0,0,0,0,0,,,
100-01-6,4-Nitroaniline,,0.634,138.13,313.3,1.233,1.813,0.591,6.383,682.1,1,6,6,2,2,0,0,0,0,0,,,
619-73-8,4-Nitrobenzylalcohol,,0.693,153.13,323.8,1.008,1.356,0.51,6.347,751.9,1,7,7,3,1,0,0,0,0,0,,,
99-99-0,4-Nitrotoluene,,0.735,137.13,349.1,0.858,1.153,0,5.282,800.1,1,7,7,2,1,0,0,0,0,0,,,
92-69-3,4-Phenylphenol,,1.397,170.20,306.0,1.537,1.187,0.794,7.058,1424.2,2,12,10,1,0,0,0,0,0,0,,,
148-24-3,8-Hydroxyquinoline,,1.08,145.16,336.1,1.037,1.082,0.196,5.967,1055.4,2,9,7,1,1,0,0,0,0,0,,,
83-32-9,Acenaphthene,,1.438,154.20,325.3,1.44,0.941,0,6.727,1472.4,2,12,10,0,0,0,0,0,0,0,,,
208-96-8,Acenaphthylene,,1.4,152.18,325.4,1.566,1.15,0,6.382,1428.7,2,12,8,0,0,0,0,0,0,0,,,
60-35-5,Acetamide,,0.168,59.07,382.0,0.268,1.076,0.718,2.722,286.7,0,2,5,1,1,0,0,0,0,0,,,
102-01-2,Acetoacetanilide,,1.076,177.20,344.4,2.055,0.187,0.602,4.805,1198.2,1,10,11,2,1,0,0,0,0,0,,,
98-86-2,Acetophenone,,0.877,120.14,361.5,0.806,1.057,0,4.488,966.2,1,8,8,1,0,0,0,0,0,0,,,
127-51-5,alpha-Isomethylionone,,1.545,206.32,339.2,0.721,0.843,0,6.485,1893.6,0,14,22,1,0,0,0,0,0,0,,,
80-56-8,alpha-Pinene,,1.119,136.23,379.5,0.441,0.191,0,4.345,1396.4,0,10,16,0,0,0,0,0,0,0,,,
122-40-7,Amylcinnamal,,1.597,202.28,321.6,1.212,1.046,0,7.132,1806.2,1,14,18,1,0,0,0,0,0,0,,,
53-41-8,Androsterone,,2.097,290.43,258.9,1.327,1.699,0.394,10.745,2538,0,19,30,2,0,0,0,0,0,0,,,
62-53-3,Aniline,,0.729,93.13,364.0,0.955,1.021,0.239,3.944,792.9,1,6,7,0,1,0,0,0,0,0,,,
123-11-5,Anisaldehyde,,0.836,136.14,345.4,0.92,1.35,0,5.304,918.1,1,8,8,2,0,0,0,0,0,0,,,
100-66-3,Anisole,,0.788,108.13,375.5,0.712,0.761,0,3.81,862.7,1,7,8,1,0,0,0,0,0,0,,,
120-12-7,Anthracene,,1.615,178.22,300.1,1.995,1.309,0,7.723,1679.5,2,14,10,0,0,0,0,0,0,0,,,
84-65-1,Anthraquinone,,1.495,208.20,289.8,1.735,1.504,0,8.572,1539.5,2,14,8,2,0,0,0,0,0,0,,,
